Game,h001_Mean_Q4,h001_HNS,h063_Mean_Q4,h063_HNS,h063_Delta_HNS,h064_Mean_Q4,h064_HNS,h064_Delta_HNS,h066_Mean_Q4,h066_HNS,h066_Delta_HNS,h063_Outcome,h064_Outcome,h066_Outcome
Alien,200.2651125488281,-0.0039906212338109105,311.2381331380208,0.012092658319398951,0.016083279553209862,231.85401407877603,0.0005875467874572126,0.004578168021268123,308.58284261067706,0.01170782802804056,0.01569844926185147,TIE,TIE,TIE
Amidar,2.2670317459106446,-0.002061602529082894,34.2915909576416,0.01662577519848375,0.018687377727566644,35.31187810262045,0.017221146118118952,0.019282748647201847,34.556330993652345,0.016780259668350554,0.01884186219743345,TIE,TIE,TIE
BattleZone,2164.044806315104,-0.005626450181175684,3306.8583561197916,0.027187089401185603,0.03281353958236129,3436.806666666667,0.030918287751537345,0.036544737932713026,3637.808837890625,0.03668965150787811,0.042316101689053795,TIE,TIE,TIE
Breakout,1.4995053808848062,-0.0069616187192775595,1.830180319150289,0.004520149970496147,0.011481768689773707,2.023735682169596,0.011240822297555426,0.018202441016832986,1.7953294118245442,0.0033100490216855637,0.010271667740963122,TIE,TIE,TIE
DoubleDunk,-17.768959884643554,0.37774550698020304,-22.563847223917644,-1.8017487381443809,-2.179494245124584,-25.19510777791341,-2.997776262687909,-3.3755217696681123,-22.56982421875,-1.8044655539772698,-2.182211060957473,LOSS,LOSS,LOSS
Enduro,0.0,0.0,2.9343098402023315,0.0034100056248719717,0.0034100056248719717,21.84290768941244,0.025383971748300337,0.025383971748300337,2.9036395231882732,0.003374363187900376,0.003374363187900376,TIE,TIE,TIE
MontezumaRevenge,0.24023333333333333,5.0540326369750135e-05,0.0,0.0,-5.0540326369750135e-05,0.014142271131277065,2.975253220136971e-06,-4.756507314961317e-05,0.0,0.0,-5.0540326369750135e-05,TIE,TIE,TIE
MsPacman,319.1132405598958,0.0017779511099582804,497.6102752685547,0.028642637338554048,0.026864686228595766,538.9834798177084,0.03486950917594154,0.03309155806598326,502.4701690673828,0.029374075383017444,0.027596124273059162,TIE,TIE,TIE
NameThisGame,2435.7115071614585,0.02491210366381057,1656.8860432942708,-0.11037816052699105,-0.13529026419080162,2418.9466959635415,0.021999877701381232,-0.0029122259624293385,1633.122771809896,-0.11450609345460146,-0.13941819711841202,LOSS,TIE,LOSS
Phoenix,796.1611328125,0.005363379129250759,137.96191731770833,-0.09619176737059365,-0.10155514649984441,142.47562357584636,-0.09549533673149317,-0.10085871586074394,142.89889465332033,-0.09543002921475646,-0.10079340834400723,LOSS,LOSS,LOSS
PrivateEye,-134.7246348063151,-0.00229522498369887,411.65828076171874,0.005561154578263127,0.007856379561961998,-0.1524631381034851,-0.0003602265989052414,0.0019349983847936287,622.3725382486979,0.008590991600552982,0.010886216584251852,TIE,TIE,TIE
Qbert,158.43870544433594,-0.0004108986130315826,218.24302673339844,0.0040886778922285165,0.004499576505260099,253.68860717773438,0.006755543723072912,0.007166442336104494,215.5624796549479,0.0038869980404141044,0.004297896653445687,TIE,TIE,TIE
Solaris,2279.8885546875003,0.09409836928221707,778.3844067382812,-0.04128936677321996,-0.13538773605543702,1642.0574137369792,0.03658636421923278,-0.05751200506298429,852.971923828125,-0.03456395406584748,-0.12866232334806454,LOSS,LOSS,LOSS
SpaceInvaders,147.35772705078125,-0.0004223534880112777,252.02032246907552,0.06840292133167325,0.06882527481968453,268.29894571940105,0.07910761209929706,0.07952996558730835,252.71107283528644,0.06885715317635722,0.06927950666436851,WIN,WIN,WIN
Venture,0.0,0.0,2.264210538864136,0.0019067036116750618,0.0019067036116750618,4.5540478261311845,0.0038349876430578394,0.0038349876430578394,3.473469336827596,0.002925026809960081,0.002925026809960081,TIE,TIE,TIE
